
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
70,09-25-2016 14:27,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  4.0,,0.0,,0.0,,0.0,  0.5336,  0.1012,< LOD,2025.0417, 12.6553,  0.4760, 25.6142,  0.3726,  0.0568,  0.0338,  0.2074,  0.0230,  3.5039,  0.0591,  0.5241,  0.0130,  0.4811,  0.0101,  0.0076,  0.0053,  0.0046,  0.0029,  0.0325,  0.0040,  3.2896,  0.0228,  0.0014,  0.0001,  0.0073,  0.0005,< LOD,  0.0032,  0.0061,  0.0030,< LOD,  0.3313,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
71,09-25-2016 14:45,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed
72,09-25-2016 15:14,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Na,Na Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ba,Ba Err,Cal Check
73,09-25-2016 15:17,Supervisor,OBSIDIAN,36,,,MudrockMajor,MudrockMajor,  5.0,,0.0,,0.0,,0.0,  0.8445,  0.1694, 17.0889,  0.4541, 26.5962,  0.3096,< LOD,  0.0408,  0.0327,  0.0158,  0.1191,  0.0203,  7.3261,  0.0503,  0.0797,  0.0027,  0.0140,  0.0035,  0.0062,  0.0027,  0.0579,  0.0041,  0.6653,  0.0072,  0.0001,  0.0001,  0.0090,  0.0005,< LOD,  0.0032,  0.0059,  0.0031,< LOD,  0.1343,Passed


File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Cal Check
74,09-25-2016 15:19,Supervisor,OBSIDIAN,36,,,Spectrum Only,,  6.0,,0.0,,0.0,,0.0,Passed
75,09-25-2016 15:20,Supervisor,OBSIDIAN,36,,,Spectrum Only,, 10.0,,0.0,,0.0,,0.0,Passed


